machine_id,machine_type,date,shift,production_rate,production_count,quality_score,downtime_minutes,operating_status
M-01,CNC,2026-05-01,Afternoon,42.82,343,99.05,0,RUNNING
M-01,CNC,2026-05-01,Morning,42.63,341,95.72,0,RUNNING
M-01,CNC,2026-05-01,Night,41.7,334,95.53,0,RUNNING
M-01,CNC,2026-05-02,Afternoon,41.41,331,97.09,0,RUNNING
M-01,CNC,2026-05-02,Morning,43.99,352,97.53,0,RUNNING
M-01,CNC,2026-05-02,Night,41.42,331,95.07,0,RUNNING
M-01,CNC,2026-05-03,Afternoon,39.83,319,94.88,0,RUNNING
M-01,CNC,2026-05-03,Morning,42.3,338,92.17,0,RUNNING
M-01,CNC,2026-05-03,Night,40.72,326,96.63,0,RUNNING
M-01,CNC,2026-05-04,Afternoon,43.85,351,95.55,0,RUNNING
M-01,CNC,2026-05-04,Morning,40.86,327,93.18,0,RUNNING
M-01,CNC,2026-05-04,Night,42.09,337,93.15,0,RUNNING
M-01,CNC,2026-05-05,Afternoon,40.55,324,96.75,0,RUNNING
M-01,CNC,2026-05-05,Morning,41.31,331,96.22,0,RUNNING
M-01,CNC,2026-05-05,Night,41.24,330,95.42,0,RUNNING
M-01,CNC,2026-05-06,Afternoon,41.98,336,93.88,0,RUNNING
M-01,CNC,2026-05-06,Morning,41.24,330,99.7,0,RUNNING
M-01,CNC,2026-05-06,Night,43.04,344,93.56,0,RUNNING
M-01,CNC,2026-05-07,Afternoon,40.33,323,96.39,0,RUNNING
M-01,CNC,2026-05-07,Morning,42.26,338,92.08,0,RUNNING
M-01,CNC,2026-05-07,Night,42.93,343,96.34,0,RUNNING
M-01,CNC,2026-05-08,Afternoon,40.14,321,94.56,0,RUNNING
M-01,CNC,2026-05-08,Morning,41.85,335,95.4,0,RUNNING
M-01,CNC,2026-05-08,Night,41.42,331,98.11,0,RUNNING
M-01,CNC,2026-05-09,Afternoon,42.41,339,95.23,0,RUNNING
M-01,CNC,2026-05-09,Morning,42.43,339,92.47,0,RUNNING
M-01,CNC,2026-05-09,Night,41.15,329,97.22,0,RUNNING
M-01,CNC,2026-05-10,Afternoon,40.94,328,95.38,0,RUNNING
M-01,CNC,2026-05-10,Morning,43.3,346,97.86,0,RUNNING
M-01,CNC,2026-05-10,Night,42.42,339,97.95,0,RUNNING
M-01,CNC,2026-05-11,Afternoon,40.61,325,93.61,0,RUNNING
M-01,CNC,2026-05-11,Morning,41.4,331,95.63,0,RUNNING
M-01,CNC,2026-05-11,Night,43.02,344,98.71,0,RUNNING
M-01,CNC,2026-05-12,Afternoon,42.46,340,94.71,0,RUNNING
